user_id,image_paths,user_claim,claim_object,evidence_standard_met,evidence_standard_met_reason,risk_flags,issue_type,object_part,claim_status,claim_status_justification,supporting_image_ids,valid_image,severity
user_001,images/sample/case_001/img_1.jpg,"Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.",car,true,"Image clearly shows the rear bumper with visible dent, allowing evaluation of the claimed damage.",none,dent,rear_bumper,supported,"Image img_1 displays a significant dent in the rear bumper area, matching the customer's description of damage to the back of the car.",img_1,true,medium
user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",car,true,"img_1 clearly shows the front bumper with visible damage, matching the claimed part and allowing evaluation of the claim.",none,scratch,front_bumper,supported,"img_1 displays a dent on the front bumper, which aligns with the reported scrape or scratch. Although the damage involves denting rather than solely a scratch, visual evidence confirms damage on the claimed part.",img_1,true,low
user_004,images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg,"Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.",car,true,"Image img_1 clearly shows a shattered windshield with radiating cracks, matching the claimed object part and damage described.",none,glass_shatter,windshield,supported,"Image img_1 displays severe damage to the windshield with multiple radiating cracks, consistent with the customer's description of a crack spreading from a stone impact.",img_1,true,high
user_007,images/sample/case_004/img_1.jpg,"Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.",car,true,Image provides a clear view of the side mirror with visible damage.,none,broken_part,side_mirror,supported,"The image shows the side mirror with shattered glass, confirming the damage described in the claim.",img_1,true,medium
user_005,images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg,"Customer: I want to file this as bumper damage. | Support: Can you tell me what happened? | Customer: The car was tapped from behind and now the back looks damaged. | Support: Are you asking for review of the rear side? | Customer: Yes, the back bumper. It looks pretty bad to me, so I uploaded both photos.",car,true,Rear bumper is clearly visible in img_2 with no damage; dent visible on quarter panel in img_1.,claim_mismatch;damage_not_visible;manual_review_required,dent,quarter_panel,contradicted,"Claim specifies rear bumper damage, but img_2 shows no visible damage on rear bumper, and img_1 shows damage on quarter panel, not the claimed part.",img_1,true,low
user_006,images/sample/case_006/img_1.jpg,"Customer: Hi, I am not fully sure how to explain this because I noticed it only after reaching home. | Support: No problem, please tell me what happened. | Customer: There was a small bump earlier, nothing major, and I first thought everything was fine. Later I looked at the car again because my family member said the front area looked different. | Support: Are you reporting a general vehicle issue or a specific damaged part? | Customer: I was confused at first because I checked the side and the front and walked around the car a few times. I do not want to claim the wrong thing. | Support: That is okay. What part do you want reviewed? | Customer: After checking again, I think the issue is with the headlight. It looks like the headlight may be cracked, so please review that part.",car,false,"The claimed headlight is not visible in the submitted image; the image shows the side of the car, not the front where the headlight is located.",damage_not_visible;wrong_angle,unknown,headlight,not_enough_information,"The image does not show the claimed headlight; it captures the side of the car, making it impossible to evaluate the alleged crack.",none,true,unknown
user_003,images/sample/case_007/img_1.jpg;images/sample/case_007/img_2.jpg,"Customer: There is a dent along the side of my car. | Support: When did you notice it? | Customer: This morning, after the car had been parked near the gate. | Support: Is it near the front or back? | Customer: It is on the door panel area. I attached two photos from different distances.",car,true,"Image 2 provides a clear, close-up view of the car door with visible damage matching the claimed dent.",blurry_image,dent,door,supported,"Image 2 shows a dent on the car door panel, consistent with the customer's description of a dent along the side.",img_2,true,medium
user_008,images/sample/case_008/img_1.jpg,"Customer: I picked up my car after service and noticed a mark on the hood. | Support: What kind of mark is it? | Customer: It looks like a scratch across the top panel. | Support: Do you think it happened during service? | Customer: Yes, that is why I am asking for review. The photo is attached.",car,true,"The image shows a car with visible severe front-end damage, including the hood, allowing evaluation of the claim.",claim_mismatch;damage_not_visible;manual_review_required;non_original_image,broken_part,hood,contradicted,"The image displays a car with catastrophic front-end destruction, including a broken or severely damaged hood, which contradicts the claim of a simple scratch on the hood. No scratch is visible; instead, extensive damage is present.",none,false,medium
user_009,images/sample/case_009/img_1.jpg,"Customer: My laptop fell from the table yesterday. | Support: Is it turning on? | Customer: It turns on, but the display glass has a crack now. | Support: Are you reporting the screen only or the whole laptop? | Customer: The screen is the issue. I attached a photo of it open.",laptop,true,"Image clearly shows the laptop screen with extensive damage, allowing evaluation of the claimed crack.",none,glass_shatter,screen,supported,"The submitted image shows a laptop with a shattered screen, which aligns with the customer's report of a cracked display glass. The damage is severe and visible on the claimed part.",img_1,true,high
user_010,images/sample/case_010/img_1.jpg;images/sample/case_010/img_2.jpg,"Customer: The laptop no longer opens smoothly. | Support: What seems to be wrong mechanically? | Customer: The hinge area has broken and the screen wobbles. | Support: Did this happen after a drop? | Customer: Yes, it slipped from the sofa. I uploaded photos from the outside and side.",laptop,true,"Image 1 provides a clear close-up of the laptop hinge showing visible damage, matching the claimed broken hinge.",none,broken_part,hinge,supported,"The images, particularly img_1, clearly show a broken hinge with exposed components, which aligns with the customer's description of a hinge that has broken and causes screen wobble.",img_1,true,medium
user_011,images/sample/case_011/img_1.jpg,"Customer: I spilled water near my laptop while working. | Support: What part was affected? | Customer: It went over the keys and left a stain. Some keys feel sticky now. | Support: Is the display damaged too? | Customer: No, this is about the keyboard area only.",laptop,true,"Image clearly shows the laptop keyboard with visible water droplets, allowing evaluation of the claimed water damage.",none,stain,keyboard,supported,"The image displays water droplets on the keyboard keys and surface, directly matching the claimed water spill affecting the keyboard area.",img_1,true,medium
user_012,images/sample/case_012/img_1.jpg;images/sample/case_012/img_2.jpg,"Customer: My laptop bag fell from a chair and hit the floor. | Support: What damage did you notice? | Customer: One corner of the laptop has a dent now. | Support: Does the laptop still work? | Customer: It works, but the outer corner is damaged. I added two photos.",laptop,true,"Image 2 clearly shows a dent on the laptop corner, matching the claimed damage and allowing evaluation.",none,dent,corner,supported,"The dent on the laptop corner is visible in image 2, confirming the customer's description of outer corner damage.",img_2,true,low
user_018,images/sample/case_013/img_1.jpg,"Customer: I am not sure if this should be a repair claim or a replacement claim, so I wanted to ask first. | Support: We can help. What device is this about? | Customer: It is my laptop. I carry it every day, and yesterday my bag got pressed between two seats during travel. At first I thought the laptop was okay because it still opened. | Support: What changed after that? | Customer: Later, while using it, I noticed marks on the display area. I restarted it twice because I thought it might just be something on the screen, but it still bothered me. | Support: Are you reporting keyboard, hinge, body, or screen damage? | Customer: Not the keyboard or hinge. The issue I want checked is the screen. It looks shattered to me, so I am submitting this as screen damage.",laptop,true,"Image clearly shows the laptop screen with visible damage, allowing evaluation of the claim.",none,glass_shatter,screen,supported,"Image img_1 shows a laptop screen with shattered glass, confirming the claimed damage.",img_1,true,high
